strategy,k,silhouette,inertia
Current production,2,0.13809859340918984,20630.9961171278
Current production,3,0.14505836059207497,18556.709047763914
Current production,4,0.14049556921628967,16895.638076997053
Current production,5,0.1286413070296878,15812.593442751404
Current production,6,0.13081214829425172,14353.523024830674
Log-scaled spend,2,0.1372189952849634,20528.39993616765
Log-scaled spend,3,0.12583574792296004,18516.16458802302
Log-scaled spend,4,0.1418316363620844,16784.20636114043
Log-scaled spend,5,0.12829440810264472,15773.606276733008
Log-scaled spend,6,0.13212827682067882,14442.656733382875
Balanced behavior,2,0.15553733285261653,20008.1132286273
Balanced behavior,3,0.17175727342312058,18207.661745290847
Balanced behavior,4,0.13969832348607428,16534.990738539826
Balanced behavior,5,0.12350051484003977,15719.680063723734
Balanced behavior,6,0.12542505315414806,14440.891073018525
